"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-1.5883,1.4407,0.14162,-0.95038,1.7266,0
-1.444,1.4974,0.17217,-0.84656,1.6742,0
-0.49268,1.7911,0.095586,-0.27043,1.6603,0
-0.50732,1.8225,0.12889,-0.27292,1.5696,0
-1.2313,1.7032,0.54922,-0.60681,1.1811,0
-2.3386,0.97119,0.50073,-1.2662,0.77279,0
-2.768,0.86602,0.25662,-1.612,0.45518,0
-2.8534,0.8791,0.20653,-1.6907,0.38223,0
-2.8506,0.90048,0.23171,-1.7053,0.45427,0
-2.6985,0.96368,0.31852,-1.6309,0.74937,0
-2.7937,0.97342,0.2932,-1.7306,0.75345,0
-2.7763,0.79139,0.17489,-1.5714,0.26366,0
-0.58466,1.9727,0.2792,-0.28573,1.2987,0
-2.0797,1.259,0.12564,-1.3146,1.7206,0
-2.1959,1.2183,0.11384,-1.4096,1.734,0
-1.9582,1.3028,0.13761,-1.2184,1.7085,0
-1.221,1.7514,0.64237,-0.57477,1.1054,0
-1.709,1.3958,0.15028,-1.0332,1.7048,0
-2.7257,0.74649,0.18736,-1.5033,0.25372,0
-1.3433,1.6438,0.60752,-0.65707,1.1329,0
-2.2529,1.012,0.54296,-1.2007,0.81275,0
-2.2626,0.95065,0.58968,-1.1641,0.732,0
-2.2676,1.0439,0.49655,-1.2456,0.87337,0
-2.8169,0.95161,0.28138,-1.7256,0.65658,0
-0.6719,1.8864,0.26675,-0.34098,1.3692,0
-1.9844,1.291,0.18264,-1.2268,1.613,0
-1.9623,1.2906,0.2852,-1.1749,1.4202,0
-0.52823,2.0758,0.30582,-0.24611,1.2177,0
-0.64908,1.7328,0.080783,-0.36461,1.7658,0
-0.47978,1.7688,0.06739,-0.26719,1.7482,0
-2.5986,1.0812,0.18479,-1.727,1.4799,0
-2.5846,1.0812,0.22347,-1.6919,1.3621,0
-2.5205,1.0972,0.23681,-1.6289,1.3427,0
-2.6326,1.0647,0.24225,-1.719,1.281,0
-2.7243,1.0442,0.22772,-1.8111,1.304,0
-2.6803,1.0487,0.25872,-1.744,1.1962,0
-2.5889,1.0647,0.27786,-1.6512,1.1715,0
-2.7321,1.033,0.27046,-1.7725,1.1129,0
-2.4018,1.148,0.10256,-1.5842,1.7385,0
-1.3645,1.6522,0.68787,-0.64591,1.0717,0
-2.9474,0.9332,0.20696,-1.8063,0.435,0
-2.904,0.89291,0.1807,-1.7393,0.34345,0
-0.69926,2.0653,0.43587,-0.31797,1.158,0
-2.0698,1.264,0.083754,-1.3144,1.8137,0
-2.1873,1.2227,0.076475,-1.4094,1.8216,0
-2.5257,1.1071,0.069029,-1.6999,1.8163,0
-0.42805,1.9706,0.1866,-0.21328,1.3577,0
-0.47109,1.7538,0.043014,-0.26493,1.8336,0
-1.551,1.5492,0.9906,-0.66182,0.8785,0
-1.5976,1.4351,0.088154,-0.9649,1.8274,0
